ticker,Date,return,rolling_mean,rolling_std,VaR_Historical,VaR_Normal,VaR_MonteCarlo
SPY,2015-01-05,-0.01805950323383243,,,,,
SPY,2015-01-06,-0.009418741886044746,,,,,
SPY,2015-01-07,0.012461037932960384,,,,,
SPY,2015-01-08,0.017744748374336927,,,,,
SPY,2015-01-09,-0.008013284869605952,,,,,
SPY,2015-01-12,-0.007833367357460208,,,,,
SPY,2015-01-13,-0.0028130363262558467,,,,,
SPY,2015-01-14,-0.006036928936474784,,,,,
SPY,2015-01-15,-0.009160753221156392,,,,,
SPY,2015-01-16,0.013114290589304689,,,,,
SPY,2015-01-20,0.0021325813692603113,,,,,
SPY,2015-01-21,0.005047685145543879,,,,,
SPY,2015-01-22,0.01487120759573246,,,,,
SPY,2015-01-23,-0.0054829055913031555,,,,,
SPY,2015-01-26,0.0023419805840254604,,,,,
SPY,2015-01-27,-0.013190739917983252,,,,,
SPY,2015-01-28,-0.012824134106482088,,,,,
SPY,2015-01-29,0.009243608665935987,,,,,
SPY,2015-01-30,-0.012575102981825292,,,,,
SPY,2015-02-02,0.012384202954005996,,,,,
SPY,2015-02-03,0.014461145156765998,,,,,
SPY,2015-02-04,-0.003807762160763839,,,,,
SPY,2015-02-05,0.010095026085423786,,,,,
SPY,2015-02-06,-0.002765590504704596,,,,,
SPY,2015-02-09,-0.0044756895121049745,,,,,
SPY,2015-02-10,0.010653443176519062,,,,,
SPY,2015-02-11,0.0005803527001324582,,,,,
SPY,2015-02-12,0.009616745066190369,,,,,
SPY,2015-02-13,0.004116335468376198,,,,,
SPY,2015-02-17,0.0015731550933650862,,,,,
SPY,2015-02-18,9.514780400188272e-05,,,,,
SPY,2015-02-19,-0.000714022908359202,,,,,
SPY,2015-02-20,0.006000832027860392,,,,,
SPY,2015-02-23,-0.00014191461746726475,,,,,
SPY,2015-02-24,0.0028405271807683263,,,,,
SPY,2015-02-25,-0.0008496313450724324,,,,,
SPY,2015-02-26,-0.0011815451887707829,,,,,
SPY,2015-02-27,-0.0034058748442762354,,,,,
SPY,2015-03-02,0.006313475982105743,,,,,
SPY,2015-03-03,-0.004104352880826001,,,,,
SPY,2015-03-04,-0.004215262463558633,,,,,
SPY,2015-03-05,0.0010938818080032942,,,,,
SPY,2015-03-06,-0.014064585557417186,,,,,
SPY,2015-03-09,0.00414494990789982,,,,,
SPY,2015-03-10,-0.016222016769046887,,,,,
SPY,2015-03-11,-0.002341865641649843,,,,,
SPY,2015-03-12,0.012713943567786101,,,,,
SPY,2015-03-13,-0.006132056838697109,,,,,
SPY,2015-03-16,0.013360547788636046,,,,,
SPY,2015-03-17,-0.002972630965237144,,,,,
SPY,2015-03-18,0.012021486673074344,,,,,
SPY,2015-03-19,-0.0045612505916056145,,,,,
SPY,2015-03-20,0.00882657710862933,,,,,
