ticker,model,observations,violations,expected_violations,violation_rate,expected_rate,kupiec_lr_stat,kupiec_p_value
SPY,Historical,2515,129,125.75000000000011,0.05129224652087475,0.050000000000000044,0.08770445773393476,0.7671160014222866
SPY,Parametric Normal,2515,135,125.75000000000011,0.0536779324055666,0.050000000000000044,0.7001795053577098,0.40272338442204925
SPY,Monte Carlo,2515,136,125.75000000000011,0.054075546719681906,0.050000000000000044,0.8577048991162428,0.3543817572162351
QQQ,Historical,2515,135,125.75000000000011,0.0536779324055666,0.050000000000000044,0.7001795053577098,0.40272338442204925
QQQ,Parametric Normal,2515,154,125.75000000000011,0.06123260437375746,0.050000000000000044,6.253638868619646,0.012393844282293287
QQQ,Monte Carlo,2515,153,125.75000000000011,0.060834990059642144,0.050000000000000044,5.8314678767033,0.015741983051159147
GLD,Historical,2515,138,125.75000000000011,0.05487077534791252,0.050000000000000044,1.2192888078539,0.2695002689185608
GLD,Parametric Normal,2515,140,125.75000000000011,0.055666003976143144,0.050000000000000044,1.6422113478968186,0.20002233223288712
GLD,Monte Carlo,2515,141,125.75000000000011,0.05606361829025845,0.050000000000000044,1.8764157410701046,0.17074208194629192
VOO,Historical,2515,131,125.75000000000011,0.05208747514910537,0.050000000000000044,0.22774123170097482,0.6332037525677837
VOO,Parametric Normal,2515,136,125.75000000000011,0.054075546719681906,0.050000000000000044,0.8577048991162428,0.3543817572162351
VOO,Monte Carlo,2515,136,125.75000000000011,0.054075546719681906,0.050000000000000044,0.8577048991162428,0.3543817572162351
