Date,SPY,QQQ,GLD,VOO
2015-01-02,170.12496948242188,94.66508483886719,114.08000183105469,155.2274169921875
2015-01-05,167.05259704589844,93.27645874023438,115.80000305175781,152.5002899169922
2015-01-06,165.4791717529297,92.02576446533203,117.12000274658203,151.000732421875
2015-01-07,167.5412139892578,93.21208190917969,116.43000030517578,152.88751220703125
2015-01-08,170.51419067382812,94.99615478515625,115.94000244140625,155.57357788085938
2015-01-09,169.14781188964844,94.37078094482422,117.26000213623047,154.263427734375
2015-01-12,167.82281494140625,93.38678741455078,118.55999755859375,153.11825561523438
2015-01-13,167.35072326660156,93.35919952392578,118.16000366210938,152.71449279785156
2015-01-14,166.34043884277344,92.8442153930664,117.97000122070312,151.81637573242188
2015-01-15,164.81663513183594,91.63954162597656,120.94000244140625,150.39923095703125
2015-01-16,166.97808837890625,92.71548461914062,122.5199966430664,152.26133728027344
2015-01-20,167.3341827392578,93.45114135742188,124.19999694824219,152.64031982421875
2015-01-21,168.1788330078125,93.92941284179688,124.2300033569336,153.43951416015625
2015-01-22,170.6798553466797,95.6674575805664,125.2300033569336,155.78770446777344
2015-01-23,169.74403381347656,95.87896728515625,124.2300033569336,154.93089294433594
2015-01-26,170.14157104492188,95.76860809326172,122.98999786376953,155.23568725585938
2015-01-27,167.89727783203125,93.28565979003906,124.4000015258789,153.20062255859375
2015-01-28,165.744140625,92.80744934082031,123.41999816894531,151.18203735351562
2015-01-29,167.27621459960938,93.69947814941406,120.76000213623047,152.64859008789062
2015-01-30,165.17269897460938,92.97297668457031,123.44999694824219,150.77000427246094
2015-02-02,167.21823120117188,93.7822494506836,122.41999816894531,152.5002899169922
2015-02-03,169.6363983154297,94.68347930908203,121.05000305175781,154.72488403320312
2015-02-04,168.99046325683594,94.60070037841797,121.58000183105469,154.19752502441406
2015-02-05,170.69642639160156,95.4191665649414,121.79000091552734,155.76303100585938
2015-02-06,170.22434997558594,94.83978271484375,118.63999938964844,155.32627868652344
2015-02-09,169.4624786376953,94.53630065917969,119.16999816894531,154.61776733398438
2015-02-10,171.26783752441406,96.00767517089844,118.47000122070312,156.2655792236328
2015-02-11,171.3672332763672,96.35712432861328,117.06999969482422,156.3727264404297
2015-02-12,173.01522827148438,97.47906494140625,117.33999633789062,157.8227996826172
2015-02-13,173.7274169921875,98.31594848632812,117.9800033569336,158.51490783691406
2015-02-17,174.00071716308594,98.40789794921875,116.01000213623047,158.7703399658203
2015-02-18,174.01727294921875,98.54583740234375,116.33999633789062,158.80328369140625
2015-02-19,173.8930206298828,99.03324890136719,115.94000244140625,158.6962127685547
2015-02-20,174.9365234375,99.69537353515625,115.27999877929688,159.66018676757812
2015-02-23,174.9116973876953,99.79651641845703,115.43000030517578,159.61895751953125
2015-02-24,175.40853881835938,99.87005615234375,115.26000213623047,160.088623046875
2015-02-25,175.25950622558594,99.62178039550781,115.69999694824219,159.91558837890625
2015-02-26,175.05242919921875,100.12755584716797,116.06999969482422,159.73428344726562
2015-02-27,174.4562225341797,99.68614196777344,116.16000366210938,159.18231201171875
2015-03-02,175.55764770507812,100.58735656738281,115.68000030517578,160.22865295410156
2015-03-03,174.83709716796875,100.11840057373047,115.47000122070312,159.54483032226562
2015-03-04,174.10011291503906,99.73213958740234,115.11000061035156,158.87744140625
2015-03-05,174.29055786132812,99.9068832397461,115.0,159.05039978027344
2015-03-06,171.8392333984375,98.77574920654297,111.86000061035156,156.80117797851562
2015-03-09,172.55149841308594,99.06079864501953,111.97000122070312,157.46852111816406
2015-03-10,169.7523651123047,97.2215805053711,111.41999816894531,154.88136291503906
2015-03-11,169.35482788085938,96.66062927246094,110.75,154.51889038085938
2015-03-12,171.50799560546875,97.2951431274414,110.72000122070312,156.51278686523438
2015-03-13,170.456298828125,96.87213897705078,110.87999725341797,155.55703735351562
2015-03-16,172.7336883544922,98.12283325195312,110.80999755859375,157.68270874023438
2015-03-17,172.22021484375,98.27913665771484,110.20999908447266,157.1471710205078
2015-03-18,174.29055786132812,99.24475860595703,112.37000274658203,159.0175323486328
2015-03-19,173.49557495117188,99.39189147949219,112.29000091552734,158.2842254638672
2015-03-20,175.02694702148438,100.03527069091797,113.56999969482422,159.7178955078125
2015-03-23,174.68594360351562,99.84168243408203,114.29000091552734,159.43130493164062
2015-03-24,173.70440673828125,99.48219299316406,114.56999969482422,158.5038299560547
2015-03-25,171.1588897705078,97.20552825927734,114.7300033569336,156.19338989257812
2015-03-26,170.75132751464844,96.87371063232422,115.4800033569336,155.8041229248047
2015-03-27,171.14230346679688,97.2608413696289,115.05999755859375,156.1270751953125
2015-03-30,173.23019409179688,98.37613677978516,113.75,158.0731964111328
2015-03-31,171.71621704101562,97.33457946777344,113.66000366210938,156.68194580078125
2015-04-01,171.1089324951172,96.82765197753906,115.5999984741211,156.17678833007812
2015-04-02,171.72454833984375,96.89216613769531,115.27999877929688,156.6405029296875
2015-04-06,172.88084411621094,97.6848373413086,116.69000244140625,157.74192810058594
2015-04-07,172.4232940673828,97.51892852783203,116.11000061035156,157.31961059570312
2015-04-08,173.00558471679688,98.29318237304688,115.47000122070312,157.8909912109375
